CREATE TABLE Production 
(
    manufacture_date	VARCHAR(512),
    item_id	INT,
    item_desc	INT,
    raw_material_cost	DOUBLE,
    number_of_carton_produce	DOUBLE
);

INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100001', '100001', '18027.27', '17930.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101982', '101982', '33000.00', '72100.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101983', '101983', '44000.00', '94200.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101984', '101984', '45000.00', '71100.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101985', '101985', '45000.00', '46100.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101986', '101986', '58000.00', '97500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101987', '101987', '45000.00', '96700.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101988', '101988', '47000.00', '89200.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101989', '101989', '43800.00', '83100.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101990', '101990', '64800.00', '108400.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101991', '101991', '195000.00', '110100.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101992', '101992', '28000.00', '91200.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101993', '101993', '28000.00', '169700.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101994', '101994', '30000.00', '180500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101995', '101995', '32800.00', '220300.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101996', '101996', '40000.00', '20901.06');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101997', '101997', '13000.00', '19485.14');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101998', '101998', '33000.00', '16177.22');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101999', '101999', '53000.00', '22343.84');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102000', '102000', '35000.00', '10837.50');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102001', '102001', '42500.00', '19011.27');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102002', '102002', '31300.00', '11357.53');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102003', '102003', '33000.00', '40549.15');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102004', '102004', '44000.00', '9834.92');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102005', '102005', '45000.00', '12744.29');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102006', '102006', '26000.00', '25173.77');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102007', '102007', '16000.00', '9733.33');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102008', '102008', '17100.00', '43338.46');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102009', '102009', '15600.00', '8321.67');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102010', '102010', '15000.00', '28530.43');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102011', '102011', '15000.00', '8080.36');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102012', '102012', '20000.00', '9487.72');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102013', '102013', '19600.00', '30619.61');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102014', '102014', '17000.00', '19547.83');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102015', '102015', '31300.00', '6646.30');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102016', '102016', '33000.00', '40855.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102017', '102017', '44000.00', '7886.67');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102018', '102018', '45000.00', '37784.21');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102019', '102019', '45000.00', '12412.50');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102020', '102020', '58000.00', '14602.13');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102021', '102021', '45000.00', '19111.63');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102022', '102022', '47000.00', '8910.64');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102023', '102023', '28000.00', '32056.76');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102024', '102024', '30000.00', '44704.88');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102025', '102025', '32800.00', '20867.44');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102026', '102026', '40000.00', '26620.51');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102027', '102027', '13000.00', '22624.39');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102028', '102028', '33000.00', '9430.77');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102029', '102029', '53000.00', '10168.42');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102030', '102030', '35000.00', '28768.75');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102031', '102031', '42500.00', '16180.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102032', '102032', '31300.00', '44550.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102033', '102033', '33000.00', '28058.82');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102034', '102034', '44000.00', '5896.88');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102035', '102035', '45000.00', '24425.71');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102036', '102036', '45000.00', '23825.81');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102037', '102037', '58000.00', '8084.85');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102038', '102038', '45000.00', '27384.38');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102039', '102039', '47000.00', '32854.55');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102040', '102040', '195000.00', '57553.85');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102041', '102041', '30200.00', '5861.29');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102042', '102042', '28000.00', '11296.97');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102043', '102043', '30000.00', '20901.06');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102044', '102044', '31000.00', '19485.14');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102045', '102045', '30000.00', '16177.22');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102046', '102046', '32300.00', '22343.84');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102047', '102047', '45000.00', '10837.50');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102048', '102048', '32000.00', '19011.27');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102049', '102049', '58100.00', '11357.53');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102050', '102050', '63100.00', '40549.15');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102051', '102051', '72000.00', '9834.92');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102052', '102052', '100000.00', '12744.29');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102053', '102053', '4500.00', '25173.77');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102054', '102054', '4000.00', '9733.33');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102055', '102055', '3000.00', '43338.46');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102056', '102056', '195000.00', '8321.67');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102057', '102057', '95000.00', '28530.43');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102058', '102058', '89000.00', '8080.36');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102059', '102059', '83000.00', '9487.72');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102060', '102060', '108300.00', '30619.61');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102061', '102061', '110000.00', '19547.83');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102062', '102062', '90200.00', '6646.30');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102063', '102063', '128200.00', '40855.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102064', '102064', '180400.00', '7886.67');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102065', '102065', '195000.00', '37784.21');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102066', '102066', '32800.00', '12412.50');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102067', '102067', '40000.00', '14602.13');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102068', '102068', '13000.00', '19111.63');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102069', '102069', '33000.00', '8910.64');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102070', '102070', '53000.00', '32056.76');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102071', '102071', '35000.00', '44704.88');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102072', '102072', '42500.00', '20867.44');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102073', '102073', '31300.00', '26620.51');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102074', '102074', '33000.00', '22624.39');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102075', '102075', '44000.00', '9430.77');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102076', '102076', '45000.00', '10168.42');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102077', '102077', '45000.00', '28768.75');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102078', '102078', '58000.00', '16180.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102079', '102079', '45000.00', '44550.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102080', '102080', '195000.00', '28058.82');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102081', '102081', '18000.00', '5896.88');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102082', '102082', '21500.00', '24425.71');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102083', '102083', '19000.00', '23825.81');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102084', '102084', '18000.00', '8084.85');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102085', '102085', '30000.00', '27384.38');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102086', '102086', '23000.00', '32854.55');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102087', '102087', '21800.00', '57553.85');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102088', '102088', '25800.00', '5861.29');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102089', '102089', '25900.00', '11296.97');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102090', '102090', '25000.00', '12748.94');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102091', '102091', '20000.00', '16809.30');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102092', '102092', '25000.00', '7336.17');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102093', '102093', '17700.00', '29429.73');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102094', '102094', '35100.00', '42265.85');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102095', '102095', '30000.00', '18516.28');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102096', '102096', '28000.00', '23218.42');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102097', '102097', '28000.00', '19626.83');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102098', '102098', '30000.00', '8038.46');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102099', '102099', '32800.00', '8415.79');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102100', '102100', '40000.00', '26675.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102101', '102101', '195000.00', '14040.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102102', '102102', '10700.00', '41734.62');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102103', '102103', '16825.00', '26026.47');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102104', '102104', '32800.00', '4596.67');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102105', '102105', '9166.67', '22474.29');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102106', '102106', '16657.14', '21629.03');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102107', '102107', '53066.67', '6281.82');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102108', '102108', '18850.00', '24365.63');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102109', '102109', '20520.00', '30042.42');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102110', '102110', '3962.50', '54023.08');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102111', '102111', '16412.50', '4676.67');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102112', '102112', '16733.33', '9751.52');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102113', '102113', '19000.00', '7296.67');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102114', '102114', '22742.86', '16376.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102115', '102115', '5620.00', '5900.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102116', '102116', '6320.00', '16260.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102117', '102117', '15725.00', '19716.67');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102118', '102118', '73714.29', '55676.47');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102119', '102119', '19000.00', '41026.09');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '102120', '102120', '22742.86', '19396.67');
